ID,logFC,Pvalue,group,group.direction
IFI27,3.731410638,1.21E-188,Transcriptomics,Transcriptomics.up
CD74,3.411826748,9.27E-182,Transcriptomics,Transcriptomics.up
CTSS,4.671591763,1.42E-178,Transcriptomics,Transcriptomics.up
STAT1,3.248411069,4.67E-174,Transcriptomics,Transcriptomics.up
GBP1P1,7.499826722,1.65E-173,Transcriptomics,Transcriptomics.up
CIITA,3.131049916,4.58E-169,Transcriptomics,Transcriptomics.up
HLA-DQB1,6.69256622,6.63E-165,Transcriptomics,Transcriptomics.up
EPSTI1,4.700947409,1.09E-164,Transcriptomics,Transcriptomics.up
CXCL11,8.39685373,2.71E-163,Transcriptomics,Transcriptomics.up
HLA-DOA,7.184130693,2.18E-157,Transcriptomics,Transcriptomics.up
RARRES3,3.265099911,1.14E-146,Transcriptomics,Transcriptomics.up
AIM2,3.062237485,1.19E-144,Transcriptomics,Transcriptomics.up
HLA-DRB5,4.413460422,5.79E-141,Transcriptomics,Transcriptomics.up
HLA-DMA,2.791609536,2.88E-140,Transcriptomics,Transcriptomics.up
HLA-C,2.803492135,3.66E-134,Transcriptomics,Transcriptomics.up
APOL3,3.118751939,1.98E-129,Transcriptomics,Transcriptomics.up
PSMB10,2.745181244,6.20E-129,Transcriptomics,Transcriptomics.up
IFI44L,3.760027442,2.06E-125,Transcriptomics,Transcriptomics.up
UBE2L6,2.562553171,8.92E-122,Transcriptomics,Transcriptomics.up
NLRC5,2.558435572,8.25E-120,Transcriptomics,Transcriptomics.up
ICAM1,2.491836903,1.10E-115,Transcriptomics,Transcriptomics.up
PARP9,2.497549461,2.53E-113,Transcriptomics,Transcriptomics.up
PSMB8,2.44176864,7.65E-112,Transcriptomics,Transcriptomics.up
PARP14,2.409139776,4.72E-109,Transcriptomics,Transcriptomics.up
BTN3A2,2.406089531,8.52E-109,Transcriptomics,Transcriptomics.up
BTN3A3,2.384916818,4.56E-106,Transcriptomics,Transcriptomics.up
APOL6,2.37185347,7.01E-106,Transcriptomics,Transcriptomics.up
XAF1,2.967700776,7.09E-105,Transcriptomics,Transcriptomics.up
HLA-A,2.412182338,3.27E-100,Transcriptomics,Transcriptomics.up
SERPING1,4.67230677,8.72E-100,Transcriptomics,Transcriptomics.up
C4B,4.840240122,1.64E-99,Transcriptomics,Transcriptomics.up
APOL1,2.309716431,1.14E-96,Transcriptomics,Transcriptomics.up
BATF2,3.579806044,5.43E-95,Transcriptomics,Transcriptomics.up
SAMD9L,2.250772082,1.26E-93,Transcriptomics,Transcriptomics.up
ETV7,5.571401392,6.88E-90,Transcriptomics,Transcriptomics.up
BTN3A1,2.095518163,2.53E-84,Transcriptomics,Transcriptomics.up
SECTM1,2.361013058,4.61E-82,Transcriptomics,Transcriptomics.up
PTGS2,2.072660623,9.85E-82,Transcriptomics,Transcriptomics.up
TAPSAR1,2.81862196,4.53E-79,Transcriptomics,Transcriptomics.up
APOL2,2.101272923,7.72E-79,Transcriptomics,Transcriptomics.up
HLA-H,2.328253985,1.38E-76,Transcriptomics,Transcriptomics.up
IFI6,2.173046788,2.32E-76,Transcriptomics,Transcriptomics.up
HLA-E,2.032278916,6.78E-75,Transcriptomics,Transcriptomics.up
CXCL9,10.18472763,6.78E-75,Transcriptomics,Transcriptomics.up
B2M,2.056740193,1.65E-74,Transcriptomics,Transcriptomics.up
LGALS9,3.810107435,9.38E-73,Transcriptomics,Transcriptomics.up
DDX60,1.946088559,1.21E-72,Transcriptomics,Transcriptomics.up
DTX3L,1.928203137,3.08E-72,Transcriptomics,Transcriptomics.up
GBP3,1.920303354,3.79E-72,Transcriptomics,Transcriptomics.up
CXCL10,6.516167731,1.81E-71,Transcriptomics,Transcriptomics.up
SLC15A3,3.172876519,2.95E-71,Transcriptomics,Transcriptomics.up
BST2,1.907725531,3.25E-71,Transcriptomics,Transcriptomics.up
IFI35,1.916907994,5.92E-71,Transcriptomics,Transcriptomics.up
TRIM69,2.045793954,6.32E-71,Transcriptomics,Transcriptomics.up
TAP2,1.890325493,4.34E-70,Transcriptomics,Transcriptomics.up
HLA-DRB6,4.54190599,1.64E-69,Transcriptomics,Transcriptomics.up
SLC12A7,2.509235231,6.87E-69,Transcriptomics,Transcriptomics.up
OAS2,1.860582673,9.00E-68,Transcriptomics,Transcriptomics.up
IL32,4.502001455,1.05E-67,Transcriptomics,Transcriptomics.up
TNFSF10,2.265898915,1.94E-66,Transcriptomics,Transcriptomics.up
ODF3B,2.605444754,7.61E-64,Transcriptomics,Transcriptomics.up
CHAC1,2.232179483,6.64E-63,Transcriptomics,Transcriptomics.up
MX1,2.774682566,8.82E-61,Transcriptomics,Transcriptomics.up
C2,3.774771917,1.09E-60,Transcriptomics,Transcriptomics.up
CSF3,2.261558818,3.69E-60,Transcriptomics,Transcriptomics.up
ISG20,2.451004316,1.99E-59,Transcriptomics,Transcriptomics.up
IL1B,2.043049061,4.79E-59,Transcriptomics,Transcriptomics.up
IL18BP,2.326175249,1.47E-56,Transcriptomics,Transcriptomics.up
TYMP,2.193265316,2.71E-56,Transcriptomics,Transcriptomics.up
BIRC3,1.685607008,4.58E-56,Transcriptomics,Transcriptomics.up
IFIT3,1.676172942,6.95E-56,Transcriptomics,Transcriptomics.up
TLR3,2.049654036,8.22E-56,Transcriptomics,Transcriptomics.up
IL8,1.676378542,1.96E-55,Transcriptomics,Transcriptomics.up
PSME2,1.646041264,4.92E-54,Transcriptomics,Transcriptomics.up
OAS3,1.652149024,5.25E-54,Transcriptomics,Transcriptomics.up
LAP3,1.637289231,1.72E-53,Transcriptomics,Transcriptomics.up
LGALS17A,9.512460332,2.78E-53,Transcriptomics,Transcriptomics.up
HLA-DQA1,9.505809743,3.64E-53,Transcriptomics,Transcriptomics.up
RTP4,4.612562866,8.39E-52,Transcriptomics,Transcriptomics.up
CASP1,3.155940556,1.22E-51,Transcriptomics,Transcriptomics.up
TNFSF13B,4.334043463,5.65E-48,Transcriptomics,Transcriptomics.up
IL6,2.739034588,2.04E-47,Transcriptomics,Transcriptomics.up
TRIM21,1.572662407,1.07E-42,Transcriptomics,Transcriptomics.up
TRANK1,1.5608537,1.92E-42,Transcriptomics,Transcriptomics.up
RP11-274E7.2,1.816024419,2.89E-42,Transcriptomics,Transcriptomics.up
HLA-DQB2,5.837040657,8.12E-42,Transcriptomics,Transcriptomics.up
IFIH1,1.68667721,1.66E-41,Transcriptomics,Transcriptomics.up
CTSO,1.75467692,1.83E-41,Transcriptomics,Transcriptomics.up
IFITM3,1.418744306,4.41E-40,Transcriptomics,Transcriptomics.up
CXCL1,2.061999895,6.09E-40,Transcriptomics,Transcriptomics.up
GBP6,4.747177686,1.13E-39,Transcriptomics,Transcriptomics.up
PSME2P2,1.642902608,4.74E-39,Transcriptomics,Transcriptomics.up
SESN2,1.49844765,1.28E-38,Transcriptomics,Transcriptomics.up
NMI,1.395259454,1.74E-37,Transcriptomics,Transcriptomics.up
FBXO6,3.005609229,1.84E-37,Transcriptomics,Transcriptomics.up
PSME1,1.359255248,3.89E-37,Transcriptomics,Transcriptomics.up
KLF4,1.330315432,8.08E-36,Transcriptomics,Transcriptomics.up
CYP1B1,1.34855828,9.49E-36,Transcriptomics,Transcriptomics.up
C4A,2.890684436,1.66E-35,Transcriptomics,Transcriptomics.up
ISG15,1.35322509,2.09E-35,Transcriptomics,Transcriptomics.up
UBA7,1.377307447,6.08E-35,Transcriptomics,Transcriptomics.up
CX3CL1,3.980780701,9.15E-34,Transcriptomics,Transcriptomics.up
PARP10,1.295485505,2.36E-33,Transcriptomics,Transcriptomics.up
MUC5AC,2.086807434,4.76E-33,Transcriptomics,Transcriptomics.up
TNFAIP3,1.604634685,2.24E-32,Transcriptomics,Transcriptomics.up
OAS1,1.806627813,1.26E-31,Transcriptomics,Transcriptomics.up
TNFRSF14,1.489687271,2.44E-30,Transcriptomics,Transcriptomics.up
PATL2,2.324748213,2.78E-30,Transcriptomics,Transcriptomics.up
HAPLN3,1.936608869,8.42E-30,Transcriptomics,Transcriptomics.up
ERAP1,1.201910898,2.01E-29,Transcriptomics,Transcriptomics.up
OPTN,1.198661644,2.94E-29,Transcriptomics,Transcriptomics.up
IL15RA,1.448815656,3.44E-29,Transcriptomics,Transcriptomics.up
TNFRSF10D,-1.190333031,8.99E-29,Transcriptomics,Transcriptomics.down
CFB,1.78263366,1.88E-28,Transcriptomics,Transcriptomics.up
SOD2,1.175036365,3.41E-28,Transcriptomics,Transcriptomics.up
IL12RB1,4.587490261,4.60E-28,Transcriptomics,Transcriptomics.up
MAL2,1.447805853,5.43E-28,Transcriptomics,Transcriptomics.up
CLIC2,2.161446982,7.52E-28,Transcriptomics,Transcriptomics.up
STAT2,1.152473806,4.86E-27,Transcriptomics,Transcriptomics.up
DDIT4,1.147096927,8.47E-27,Transcriptomics,Transcriptomics.up
SEMA3F,1.149963366,1.25E-26,Transcriptomics,Transcriptomics.up
CFH,1.142351499,1.36E-26,Transcriptomics,Transcriptomics.up
EFEMP1,-1.153933,1.66E-26,Transcriptomics,Transcriptomics.down
KISS1,-1.412440457,1.78E-26,Transcriptomics,Transcriptomics.down
MUC1,1.453351972,1.82E-26,Transcriptomics,Transcriptomics.up
PDE1C,-1.127949319,6.95E-26,Transcriptomics,Transcriptomics.down
TAPBP,1.151722696,1.64E-25,Transcriptomics,Transcriptomics.up
ZC3H12A,1.441765195,4.01E-25,Transcriptomics,Transcriptomics.up
PMAIP1,1.098771514,1.00E-24,Transcriptomics,Transcriptomics.up
CSF2,1.631206572,1.10E-24,Transcriptomics,Transcriptomics.up
XIRP1,4.975788354,1.40E-24,Transcriptomics,Transcriptomics.up
CEBPB,1.096609641,1.67E-24,Transcriptomics,Transcriptomics.up
TGFBI,-1.132075088,2.94E-24,Transcriptomics,Transcriptomics.down
LY6E,1.079780378,7.40E-24,Transcriptomics,Transcriptomics.up
PML,1.078513059,7.75E-24,Transcriptomics,Transcriptomics.up
MDK,1.067185149,2.81E-23,Transcriptomics,Transcriptomics.up
TNC,1.077043083,1.06E-22,Transcriptomics,Transcriptomics.up
NLRP3,1.386934198,1.20E-22,Transcriptomics,Transcriptomics.up
USP30-AS1,4.580246184,4.79E-22,Transcriptomics,Transcriptomics.up
NFKBIA,1.036659426,4.79E-22,Transcriptomics,Transcriptomics.up
SP110,1.103201499,8.31E-22,Transcriptomics,Transcriptomics.up
GBP7,6.186008721,1.01E-21,Transcriptomics,Transcriptomics.up
CXCL2,1.809625227,1.68E-21,Transcriptomics,Transcriptomics.up
TAPBPL,1.619327968,2.07E-21,Transcriptomics,Transcriptomics.up
RAB27B,1.021698834,2.30E-21,Transcriptomics,Transcriptomics.up
RASD1,1.025599131,2.81E-21,Transcriptomics,Transcriptomics.up
HLA-DRB9,5.468579191,3.05E-21,Transcriptomics,Transcriptomics.up
KYNU,1.651220899,4.26E-21,Transcriptomics,Transcriptomics.up
SAMHD1,1.012714494,5.28E-21,Transcriptomics,Transcriptomics.up
ALPP,-1.40987307,5.72E-21,Transcriptomics,Transcriptomics.down
MIR146A,2.181376311,1.71E-20,Transcriptomics,Transcriptomics.up
CEBPD,1.171798479,2.05E-20,Transcriptomics,Transcriptomics.up
GPR68,1.054448769,2.44E-20,Transcriptomics,Transcriptomics.up
BTN2A2,1.000955888,2.58E-20,Transcriptomics,Transcriptomics.up
HHIP,-1.628200828,3.61E-20,Transcriptomics,Transcriptomics.down
SAA1,2.444691907,9.27E-20,Transcriptomics,Transcriptomics.up
CCL20,2.833594162,1.53E-19,Transcriptomics,Transcriptomics.up
TMEM229B,1.625163878,1.53E-19,Transcriptomics,Transcriptomics.up
CASP4,0.969990661,3.24E-19,Transcriptomics,Transcriptomics.up
SMTNL1,3.45882403,5.69E-19,Transcriptomics,Transcriptomics.up
HELZ2,0.959411441,7.66E-19,Transcriptomics,Transcriptomics.up
C15orf48,2.087879811,8.39E-19,Transcriptomics,Transcriptomics.up
BCL2A1,2.100681599,8.85E-19,Transcriptomics,Transcriptomics.up
IFI44,0.977800332,1.43E-18,Transcriptomics,Transcriptomics.up
HERC6,1.208608857,1.73E-18,Transcriptomics,Transcriptomics.up
PARP12,0.95671663,1.85E-18,Transcriptomics,Transcriptomics.up
RP11-532F6.3,1.55060439,2.48E-18,Transcriptomics,Transcriptomics.up
BCL3,0.969917863,8.09E-18,Transcriptomics,Transcriptomics.up
NUB1,0.931744337,8.52E-18,Transcriptomics,Transcriptomics.up
HIST1H2BK,0.931890471,1.20E-17,Transcriptomics,Transcriptomics.up
C5orf56,1.713073061,1.52E-17,Transcriptomics,Transcriptomics.up
IFIT2,0.927489351,1.58E-17,Transcriptomics,Transcriptomics.up
OASL,1.241602976,2.62E-17,Transcriptomics,Transcriptomics.up
APOBEC3G,1.714516843,2.78E-17,Transcriptomics,Transcriptomics.up
SCN5A,-0.983355252,3.60E-17,Transcriptomics,Transcriptomics.down
MATN2,-1.122409243,3.99E-17,Transcriptomics,Transcriptomics.down
CXCR4,-0.945465045,4.33E-17,Transcriptomics,Transcriptomics.down
GRIP2,4.722604846,5.29E-17,Transcriptomics,Transcriptomics.up
PDCD1LG2,1.317832657,7.73E-17,Transcriptomics,Transcriptomics.up
COL12A1,-0.897463533,1.54E-16,Transcriptomics,Transcriptomics.down
SERPINA1,1.212517911,2.31E-16,Transcriptomics,Transcriptomics.up
IRAK2,0.948869202,3.12E-16,Transcriptomics,Transcriptomics.up
JUNB,0.882386956,5.01E-16,Transcriptomics,Transcriptomics.up
TGFB2,-0.881740992,5.41E-16,Transcriptomics,Transcriptomics.down
TRAFD1,0.881205592,5.58E-16,Transcriptomics,Transcriptomics.up
TNFAIP6,3.678401752,5.90E-16,Transcriptomics,Transcriptomics.up
CSF1,0.900091426,7.04E-16,Transcriptomics,Transcriptomics.up
TMEM158,0.876463253,8.10E-16,Transcriptomics,Transcriptomics.up
AGR2,0.867349476,1.59E-15,Transcriptomics,Transcriptomics.up
GSDMD,0.865201997,2.10E-15,Transcriptomics,Transcriptomics.up
NEXN,-0.963097248,4.05E-15,Transcriptomics,Transcriptomics.down
PRRG4,1.029474518,7.57E-15,Transcriptomics,Transcriptomics.up
GSAP,0.961046314,1.30E-14,Transcriptomics,Transcriptomics.up
MX2,2.399754908,1.77E-14,Transcriptomics,Transcriptomics.up
ATF3,1.221318399,2.07E-14,Transcriptomics,Transcriptomics.up
RNF19B,0.848130256,2.49E-14,Transcriptomics,Transcriptomics.up
Mar-04,-1.192646302,4.52E-14,Transcriptomics,Transcriptomics.down
BAK1,0.839526117,5.77E-14,Transcriptomics,Transcriptomics.up
MIR137HG,-0.850768463,7.92E-14,Transcriptomics,Transcriptomics.down
IFI16,0.815818196,1.01E-13,Transcriptomics,Transcriptomics.up
ITK,2.804432894,1.56E-13,Transcriptomics,Transcriptomics.up
ERAP2,0.901980254,1.71E-13,Transcriptomics,Transcriptomics.up
CTGF,-0.817730398,1.72E-13,Transcriptomics,Transcriptomics.down
TENM1,-0.806782901,2.04E-13,Transcriptomics,Transcriptomics.down
WDR25,1.180778486,2.06E-13,Transcriptomics,Transcriptomics.up
NFKBIZ,0.805036095,2.28E-13,Transcriptomics,Transcriptomics.up
DHX58,1.388617275,2.33E-13,Transcriptomics,Transcriptomics.up
PLB1,0.828930106,2.61E-13,Transcriptomics,Transcriptomics.up
SACS,-0.802246542,2.84E-13,Transcriptomics,Transcriptomics.down
RELB,0.918660384,4.26E-13,Transcriptomics,Transcriptomics.up
HIST1H1C,0.813987594,5.02E-13,Transcriptomics,Transcriptomics.up
HEXDC,0.859067453,5.07E-13,Transcriptomics,Transcriptomics.up
CTD-2521M24.9,1.012049993,5.31E-13,Transcriptomics,Transcriptomics.up
AKAP12,-0.828000593,5.42E-13,Transcriptomics,Transcriptomics.down
RFX5,0.79213435,5.78E-13,Transcriptomics,Transcriptomics.up
KAL1,-0.854024769,6.04E-13,Transcriptomics,Transcriptomics.down
RP11-638I2.9,3.224588294,6.72E-13,Transcriptomics,Transcriptomics.up
LGALS3BP,0.817363085,7.62E-13,Transcriptomics,Transcriptomics.up
CH25H,2.989872365,9.56E-13,Transcriptomics,Transcriptomics.up
CLEC2B,0.867876484,1.02E-12,Transcriptomics,Transcriptomics.up
RP6-91H8.3,1.348668096,1.15E-12,Transcriptomics,Transcriptomics.up
TFAP2A-AS1,1.722608029,1.20E-12,Transcriptomics,Transcriptomics.up
SHISA2,0.827874948,1.23E-12,Transcriptomics,Transcriptomics.up
MOV10,0.779246498,1.65E-12,Transcriptomics,Transcriptomics.up
HIST1H2AC,0.985472941,1.86E-12,Transcriptomics,Transcriptomics.up
NR1D1,0.796480077,1.98E-12,Transcriptomics,Transcriptomics.up
SOX4,0.774705235,2.31E-12,Transcriptomics,Transcriptomics.up
DDX60L,0.771802623,2.62E-12,Transcriptomics,Transcriptomics.up
MLKL,0.786389681,2.77E-12,Transcriptomics,Transcriptomics.up
PLSCR1,0.800608842,3.50E-12,Transcriptomics,Transcriptomics.up
COL11A1,-1.333662578,4.76E-12,Transcriptomics,Transcriptomics.down
NANOS1,-0.947026393,6.41E-12,Transcriptomics,Transcriptomics.down
NREP,0.791366745,8.33E-12,Transcriptomics,Transcriptomics.up
SDPR,-0.755310068,8.79E-12,Transcriptomics,Transcriptomics.down
CD40,0.801316709,9.40E-12,Transcriptomics,Transcriptomics.up
SERTAD4,-0.95318056,9.40E-12,Transcriptomics,Transcriptomics.down
ENPP1,-0.774337472,9.92E-12,Transcriptomics,Transcriptomics.down
CCRL2,0.76721594,1.02E-11,Transcriptomics,Transcriptomics.up
IRF9,1.358935169,1.07E-11,Transcriptomics,Transcriptomics.up
OGFR,0.75130617,1.07E-11,Transcriptomics,Transcriptomics.up
TNS4,0.76966421,1.33E-11,Transcriptomics,Transcriptomics.up
VSNL1,1.271308252,1.54E-11,Transcriptomics,Transcriptomics.up
CASP7,0.765682544,1.71E-11,Transcriptomics,Transcriptomics.up
C3,2.304892992,1.97E-11,Transcriptomics,Transcriptomics.up
PARP8,0.748400719,2.27E-11,Transcriptomics,Transcriptomics.up
SPTLC3,0.783177349,2.43E-11,Transcriptomics,Transcriptomics.up
IL1A,1.84193065,2.58E-11,Transcriptomics,Transcriptomics.up
SP100,0.738674765,2.69E-11,Transcriptomics,Transcriptomics.up
COL4A2,-0.737918245,3.09E-11,Transcriptomics,Transcriptomics.down
NUAK2,1.46974534,4.27E-11,Transcriptomics,Transcriptomics.up
IL11,-0.749138665,5.02E-11,Transcriptomics,Transcriptomics.down
EREG,0.728810438,5.10E-11,Transcriptomics,Transcriptomics.up
NEGR1,-0.756732219,5.60E-11,Transcriptomics,Transcriptomics.down
SERPINB2,1.852381988,5.74E-11,Transcriptomics,Transcriptomics.up
CARD16,1.557886127,6.23E-11,Transcriptomics,Transcriptomics.up
CTSD,0.756960663,6.75E-11,Transcriptomics,Transcriptomics.up
RASGRP3,1.680471188,6.80E-11,Transcriptomics,Transcriptomics.up
GOLM1,0.728391925,7.06E-11,Transcriptomics,Transcriptomics.up
DDIT3,0.934732006,8.45E-11,Transcriptomics,Transcriptomics.up
RHBDF2,0.722872511,1.00E-10,Transcriptomics,Transcriptomics.up
RP11-149I23.3,-0.856449461,1.02E-10,Transcriptomics,Transcriptomics.down
C1RL,1.002073281,1.54E-10,Transcriptomics,Transcriptomics.up
RP11-680F8.1,0.783232021,1.59E-10,Transcriptomics,Transcriptomics.up
TPBG,0.711410793,1.69E-10,Transcriptomics,Transcriptomics.up
COL4A1,-0.709082037,2.24E-10,Transcriptomics,Transcriptomics.down
TMEM140,0.904797304,2.76E-10,Transcriptomics,Transcriptomics.up
PTPRQ,-1.445733282,2.97E-10,Transcriptomics,Transcriptomics.down
BEND3,0.703338957,2.97E-10,Transcriptomics,Transcriptomics.up
ITGA10,-0.702961493,3.10E-10,Transcriptomics,Transcriptomics.down
EXOC3L4,2.87492352,3.74E-10,Transcriptomics,Transcriptomics.up
LAMC2,0.699311353,4.06E-10,Transcriptomics,Transcriptomics.up
USF1,0.702816016,4.13E-10,Transcriptomics,Transcriptomics.up
ADAR,0.698862515,5.48E-10,Transcriptomics,Transcriptomics.up
VWA3B,2.419291819,5.54E-10,Transcriptomics,Transcriptomics.up
MYH10,-0.693978739,5.61E-10,Transcriptomics,Transcriptomics.down
POU2F2,0.697451552,5.84E-10,Transcriptomics,Transcriptomics.up
DNPEP,0.696251215,6.01E-10,Transcriptomics,Transcriptomics.up
MMP1,1.090921659,6.28E-10,Transcriptomics,Transcriptomics.up
SLC35F6,0.731276129,6.87E-10,Transcriptomics,Transcriptomics.up
FREM2,-0.897315003,6.87E-10,Transcriptomics,Transcriptomics.down
CLIC5,1.635904959,7.63E-10,Transcriptomics,Transcriptomics.up
LY75,1.141937655,7.89E-10,Transcriptomics,Transcriptomics.up
SLFN5,0.693102019,7.92E-10,Transcriptomics,Transcriptomics.up
ZNFX1,0.685757581,8.85E-10,Transcriptomics,Transcriptomics.up
SELPLG,1.221625626,9.21E-10,Transcriptomics,Transcriptomics.up
SAMD9,0.687819,9.50E-10,Transcriptomics,Transcriptomics.up
GSTK1,0.684619455,1.00E-09,Transcriptomics,Transcriptomics.up
LEPREL1,-0.686366698,1.11E-09,Transcriptomics,Transcriptomics.down
TNIP1,0.686516617,1.15E-09,Transcriptomics,Transcriptomics.up
PRKDC,-0.691893598,1.36E-09,Transcriptomics,Transcriptomics.down
DNER,1.172889043,1.41E-09,Transcriptomics,Transcriptomics.up
DCLK1,-1.197138402,1.46E-09,Transcriptomics,Transcriptomics.down
LOXL4,0.676111659,1.74E-09,Transcriptomics,Transcriptomics.up
GUK1,0.676513792,1.74E-09,Transcriptomics,Transcriptomics.up
HELLS,-0.673289018,2.31E-09,Transcriptomics,Transcriptomics.down
FAM111B,-0.676527298,2.66E-09,Transcriptomics,Transcriptomics.down
ERN1,0.741709005,2.98E-09,Transcriptomics,Transcriptomics.up
CD22,0.686412656,3.42E-09,Transcriptomics,Transcriptomics.up
CPA4,-0.826494183,3.50E-09,Transcriptomics,Transcriptomics.down
EXOC3L1,1.796825112,3.81E-09,Transcriptomics,Transcriptomics.up
CD47,0.663050797,3.86E-09,Transcriptomics,Transcriptomics.up
TMEM132A,0.702305174,3.92E-09,Transcriptomics,Transcriptomics.up
PTPRF,-0.675722105,4.00E-09,Transcriptomics,Transcriptomics.down
CLIC3,0.762818953,4.15E-09,Transcriptomics,Transcriptomics.up
APOBEC3F,1.121403168,4.25E-09,Transcriptomics,Transcriptomics.up
C19orf66,0.713649089,4.49E-09,Transcriptomics,Transcriptomics.up
PKNOX2,1.369066016,4.51E-09,Transcriptomics,Transcriptomics.up
SORCS3,-0.972106171,5.21E-09,Transcriptomics,Transcriptomics.down
SDC1,-0.657834186,5.51E-09,Transcriptomics,Transcriptomics.down
PM20D2,-0.661969575,5.98E-09,Transcriptomics,Transcriptomics.down
RBCK1,0.655067417,6.52E-09,Transcriptomics,Transcriptomics.up
CTH,0.729040068,7.17E-09,Transcriptomics,Transcriptomics.up
VAMP8,0.65224375,7.26E-09,Transcriptomics,Transcriptomics.up
DGKH,-0.750162675,7.43E-09,Transcriptomics,Transcriptomics.down
FLNC,-0.652688171,7.78E-09,Transcriptomics,Transcriptomics.down
SAA2,2.372066094,8.15E-09,Transcriptomics,Transcriptomics.up
BBC3,0.901700331,8.22E-09,Transcriptomics,Transcriptomics.up
TIMP1,0.661807578,8.45E-09,Transcriptomics,Transcriptomics.up
RIMS2,-2.411522363,8.59E-09,Transcriptomics,Transcriptomics.down
DANCR,-0.691245282,1.17E-08,Transcriptomics,Transcriptomics.down
CTSL,0.644334477,1.21E-08,Transcriptomics,Transcriptomics.up
IRF2,0.668110952,1.26E-08,Transcriptomics,Transcriptomics.up
RGCC,-0.835730049,1.32E-08,Transcriptomics,Transcriptomics.down
RP5-884M6.1,1.195491107,1.43E-08,Transcriptomics,Transcriptomics.up
S100A2,0.641216854,1.45E-08,Transcriptomics,Transcriptomics.up
ANKRD1,-0.643775606,1.70E-08,Transcriptomics,Transcriptomics.down
CDH4,-0.638877395,1.72E-08,Transcriptomics,Transcriptomics.down
SERINC2,-0.638407749,1.76E-08,Transcriptomics,Transcriptomics.down
MVP,0.637428658,1.79E-08,Transcriptomics,Transcriptomics.up
IL22RA1,2.092837212,2.07E-08,Transcriptomics,Transcriptomics.up
TMEM56,-0.684996887,2.16E-08,Transcriptomics,Transcriptomics.down
PDE4D,0.638529287,2.20E-08,Transcriptomics,Transcriptomics.up
KIAA1199,-0.682717564,2.20E-08,Transcriptomics,Transcriptomics.down
SRGN,0.647733903,2.47E-08,Transcriptomics,Transcriptomics.up
PLCE1,-0.647846497,2.51E-08,Transcriptomics,Transcriptomics.down
LAP3P2,1.730319569,2.55E-08,Transcriptomics,Transcriptomics.up
BACH1,0.630903518,2.64E-08,Transcriptomics,Transcriptomics.up
SUSD5,-0.824337999,2.66E-08,Transcriptomics,Transcriptomics.down
PARP3,0.647661916,3.09E-08,Transcriptomics,Transcriptomics.up
SLC25A22,0.631219956,3.16E-08,Transcriptomics,Transcriptomics.up
ZNF367,-0.641063072,3.21E-08,Transcriptomics,Transcriptomics.down
GADD45A,0.636728515,3.27E-08,Transcriptomics,Transcriptomics.up
MOXD1,-0.934342291,3.47E-08,Transcriptomics,Transcriptomics.down
RP11-875O11.3,1.222230301,3.72E-08,Transcriptomics,Transcriptomics.up
RGS4,-0.87774813,3.75E-08,Transcriptomics,Transcriptomics.down
BRI3BP,-0.664300277,3.86E-08,Transcriptomics,Transcriptomics.down
IGFBP6,0.64331504,4.82E-08,Transcriptomics,Transcriptomics.up
ADM2,0.88239036,5.11E-08,Transcriptomics,Transcriptomics.up
TNFAIP2,0.620115198,5.14E-08,Transcriptomics,Transcriptomics.up
HTATIP2,0.621174823,5.50E-08,Transcriptomics,Transcriptomics.up
CCDC80,-0.687571489,6.14E-08,Transcriptomics,Transcriptomics.down
MYD88,0.618580205,6.29E-08,Transcriptomics,Transcriptomics.up
RP3-368A4.5,-0.956803275,7.52E-08,Transcriptomics,Transcriptomics.down
KITLG,-0.832305471,7.57E-08,Transcriptomics,Transcriptomics.down
GINS1,-0.671342229,7.58E-08,Transcriptomics,Transcriptomics.down
KIAA0754,-0.618339102,7.65E-08,Transcriptomics,Transcriptomics.down
TMEM255B,0.667685298,9.37E-08,Transcriptomics,Transcriptomics.up
PPP1R15A,0.609542504,9.37E-08,Transcriptomics,Transcriptomics.up
ZNF385B,1.109435111,9.96E-08,Transcriptomics,Transcriptomics.up
ACTA2,1.114105991,1.11E-07,Transcriptomics,Transcriptomics.up
ERMP1,-0.753708615,1.19E-07,Transcriptomics,Transcriptomics.down
SKP2,-0.638109015,1.23E-07,Transcriptomics,Transcriptomics.down
PITPNM3,-0.62411928,1.30E-07,Transcriptomics,Transcriptomics.down
SFTA1P,-0.998743625,1.40E-07,Transcriptomics,Transcriptomics.down
CDC42SE2,0.602071542,1.50E-07,Transcriptomics,Transcriptomics.up
THEMIS2,0.916546766,1.50E-07,Transcriptomics,Transcriptomics.up
REC8,1.051877794,1.52E-07,Transcriptomics,Transcriptomics.up
GPRIN3,-1.524121715,1.61E-07,Transcriptomics,Transcriptomics.down
TRIB2,0.600660483,1.61E-07,Transcriptomics,Transcriptomics.up
NDNF,-0.780541249,1.67E-07,Transcriptomics,Transcriptomics.down
CXCL3,1.257069024,1.73E-07,Transcriptomics,Transcriptomics.up
TRAF1,0.618297233,1.82E-07,Transcriptomics,Transcriptomics.up
MYO15B,0.925634937,1.90E-07,Transcriptomics,Transcriptomics.up
HLA-L,1.061029884,1.96E-07,Transcriptomics,Transcriptomics.up
GLDN,2.24645808,1.99E-07,Transcriptomics,Transcriptomics.up
HDAC9,0.598805382,1.99E-07,Transcriptomics,Transcriptomics.up
